,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,4681,2574,2145,1922,1743,1922,1773,2242,2721,3383,4996,8733,10115,9827,7422,6300,4883,4992,3598,3865,3795,4020,3948,2585,245472,50343,0
1,11094,4623,4521,3914,3335,2833,2736,2912,3339,3863,4976,7158,8474,6929,4895,3716,3107,2683,2375,2477,2564,3011,3419,3146,221272,76628,0
2,15344,7261,5583,4007,2986,2418,2213,2298,2317,2739,3365,4761,5686,4682,3456,2745,2173,2099,1764,1980,2284,2892,3604,4326,198207,108810,0
3,6471,3318,2526,2253,1941,1969,1761,2244,3050,3845,5287,8560,9728,9323,6538,5506,4321,4257,3273,3596,3918,3945,4064,3155,229936,65215,0
4,11234,5544,4399,3441,2721,2341,2174,2357,2582,3186,3885,5633,6626,5726,4111,3080,2575,2398,2096,1973,2107,2586,3238,3722,223688,86577,0
5,11264,5007,4192,3183,2383,1958,1770,1810,1917,2356,2830,3742,4251,3875,3017,2459,1925,1992,1860,1838,2187,2731,3535,4181,235438,88299,0
6,13780,6516,4933,3491,2495,2096,1925,1903,2065,2409,2778,3433,3877,3611,2899,2514,2278,2047,1905,1906,2103,2759,3931,4794,212492,105060,0
7,20193,8896,6719,3841,2145,1440,1043,880,751,714,683,1012,1013,912,629,581,621,764,826,1090,1680,2750,4338,5159,214300,117020,1
8,7690,3455,3577,4016,4092,4307,4719,5933,7106,8570,9431,10966,12215,13355,9515,9167,7696,7158,5503,4764,4266,3961,3402,3095,178784,63257,1
9,8859,4020,3898,3250,2669,2495,2427,2696,3069,3778,4658,6282,7154,6572,4851,3993,3184,2857,2550,2325,2452,2778,3018,2844,236338,70983,1
10,8877,3669,3741,3422,2925,2742,2537,2912,3223,3826,4733,6444,7714,6996,5300,4301,3546,3183,2839,2656,2749,3094,3241,2830,234013,68487,1
11,8983,3609,3887,3425,2812,2595,2529,2773,3019,3727,4979,7317,9843,7441,5044,3696,3024,2673,2307,2319,2519,2864,3132,2619,237492,65372,1
12,9344,3932,4187,3770,3066,2754,2580,2773,3151,3858,5090,7380,9559,7625,5402,4025,3308,2930,2565,2454,2663,2951,3032,2446,233388,65767,1
13,4414,1757,1958,2417,2804,3290,3654,4167,5061,6612,9040,14966,21046,16052,9381,6731,4582,4065,2822,2358,1940,1585,1260,1111,238030,28897,1
14,3321,1341,1384,1569,1867,2381,2839,3780,5085,7300,10668,16656,20274,18447,12016,8044,5366,4068,2535,2027,1555,1325,1022,905,237545,26680,1
15,3941,1498,1541,1844,2373,2858,3255,4167,5377,7468,10982,17548,24042,20579,12365,9016,6210,5124,3456,2694,2210,1943,1523,1225,217755,29006,0
16,5997,2430,2298,2768,2962,3107,3208,3868,4734,6438,8790,13258,16086,14332,9565,7040,5245,4307,3541,3103,2831,2342,1926,1555,226648,41621,1
17,8196,3859,3561,3281,2591,2478,2565,2919,3241,3968,5500,8313,11202,8511,5705,4306,3494,3009,2528,2448,2405,2538,2817,2702,230114,67749,1
18,7815,3785,3652,3115,2828,2726,2735,3144,3649,4786,6586,9737,12246,10338,6941,4981,3832,3502,2604,2937,2657,2921,3123,3034,215878,70448,1
19,10734,5204,4896,3638,2832,2415,2287,2375,2654,3135,3959,5366,6484,5590,3894,3334,2590,2564,2137,2125,2360,2861,3510,3389,226029,83638,1
20,13516,6744,4688,3100,2175,1895,1735,1816,1888,2232,2834,4306,5881,4314,2657,2178,1756,1628,1441,1416,1808,2351,3419,4440,220928,98854,0
21,7335,3558,3182,3127,2938,3036,3064,3572,4452,5837,8307,12925,17409,13698,8938,6241,4854,3788,3143,2738,2561,2554,2618,2593,200671,66861,0
22,9293,3483,3770,4177,4263,4229,4233,4904,5665,6947,9303,13550,16628,14070,9783,7774,6201,5254,4492,4108,4011,3885,3435,2583,180093,63866,0
23,10005,3569,4169,4430,3974,3829,3789,4240,4882,6170,8313,11463,13854,12488,8876,6921,5300,4482,3862,3859,3818,3955,3550,2826,187170,70206,0
24,6102,2773,2604,2532,2328,2351,2349,2811,3329,4512,7016,12797,19244,14079,8034,5277,3810,3145,2601,2432,2300,2234,2139,1959,233545,47697,0
25,9773,5241,3996,3054,2588,2360,2278,2510,2888,3680,4827,7057,8837,7845,5348,4002,3371,2855,2621,2465,2540,2881,3376,4279,206770,92558,0
26,12867,6377,5035,3708,2872,2546,2401,2589,2817,3306,4145,5631,7094,5780,3964,3055,2569,2290,2072,2049,2112,2738,3276,3720,212181,92806,0
27,11690,5347,4404,3592,2790,2431,2325,2522,2752,3281,4047,5941,8764,5922,3992,3165,2517,2303,2070,2170,2298,2881,3497,3665,219247,86387,0
28,8629,4705,3606,3144,2671,2433,2453,2641,3040,3837,4997,7123,9481,8164,5350,4217,3429,2909,2489,2454,2585,2669,2891,3256,226023,74804,0
29,13229,6858,4739,3269,2372,1983,1773,1852,1988,2236,2750,3894,5002,4064,2824,2296,1925,1743,1646,1671,1902,2477,3459,4217,220426,99405,0
30,7475,4121,3026,2187,1944,1848,1957,2306,2875,3828,5403,7656,9536,7982,6190,4441,3376,2751,2141,1882,1889,2029,2613,3306,232196,75042,0
31,14360,7157,5154,3672,2735,2241,2069,2308,2474,3118,3838,5332,6351,5196,3709,2886,2321,2101,1908,1815,2037,2506,3747,4427,200733,105805,0
32,12031,5068,4729,4110,3277,3057,3006,3099,3555,4113,5232,7051,8617,7037,5060,3980,3293,2842,2631,2568,2682,3199,3594,3622,205529,87018,0
33,12232,5966,4159,3161,2333,2115,1873,2023,2088,2510,3160,5377,6971,5872,3128,2490,1991,1902,1730,1833,2125,2625,3427,4077,225701,89131,0
34,7532,4004,3102,2491,2221,2045,2120,2495,3014,3803,4921,7177,8353,7938,6063,5002,3669,3172,2402,2186,1969,2109,2517,3044,233536,73115,0
35,12301,6228,4773,3121,2469,2072,1949,2161,2344,2962,3694,5404,6714,5713,3879,2872,2387,2050,1788,1850,2067,2696,3599,4463,211914,98530,0
36,11233,5815,4160,2953,2259,1949,1898,2110,2235,2566,3281,5574,7660,5596,3139,2398,2002,1808,1605,1711,1945,2310,3280,3756,230392,86365,0
